go	geh
i want a book	ich will ein buch
i want a pony	ich will ein pferdchen
i want a pony	ich mochte ein pony
i want a pool	ich will ein schwimmbecken
i want it all	ich will alles
i want my mom	ich will meine mutter
i want to cry	mir ist zum weinen zumute
i want to die	ich will sterben
i want to eat	ich will essen
i want to run	ich mochte laufen
i want to try	ich will es versuchen
i want to win	ich will gewinnen
i want to win	ich will siegen
i wanted more	ich wollte mehr
i wanted more	ich wollte noch mehr
i wanted this	ich wollte das
i was ashamed	ich schamte mich
i was ashamed	ich habe mich geschamt
i was at home	ich war zuhause
i was at home	ich war zu hause
i was at home	ich war daheim
i was at work	ich war auf der arbeit
i was bullied	ich bin gehanselt worden
i was careful	ich war vorsichtig
i was correct	ich hatte recht
i was furious	ich war wutend
i was invited	ich war eingeladen
i was jealous	ich war eifersuchtig
i was married	ich war verheiratet
i was nervous	ich war nervos
i was reading	ich las
i was reading	ich war am lesen
i was serious	ich meinte es ernst
i was so cold	mir war so kalt
i was tempted	ich war versucht
i was thirsty	ich hatte durst
i was too shy	ich war zu schuchtern
i was worried	ich habe mir sorgen gemacht
i wasnt busy	ich hatte nichts zu tun
i wasnt home	ich war nicht zu hause
i wasnt told	man hat mir nicht bescheid gegeben
i watched tom	ich habe tom beobachtet
i watched you	ich habe dich beobachtet
i watched you	ich habe dir zugesehen
i went aboard	ich ging an bord
i went hiking	ich bin wandern gegangen
i went inside	ich ging hinein
i will listen	ich werde zuhoren
i woke tom up	ich weckte tom
i woke you up	ich weckte dich
i wont dance	ich werde nicht tanzen
i wont laugh	ich werde nicht lachen
i wont leave	ich werde nicht gehen
i work nights	ich arbeite nachts
i write poems	ich schreibe gedichte
i write songs	ich schreibe lieder
id like that	das wurde mir wohl gefallen
id like that	das gefiele mir
id like that	das konnte mir gefallen
ill allow it	ich erlaube es
ill allow it	ich werde es zulassen
ill be alone	ich werde allein sein
ill be brief	ich werde mich kurz fassen
ill be going	ich werde gehen
ill be there	ich werde dort sein
ill buy that	das kaufe ich
ill buy this	ich werde dies kaufen
ill call tom	ich rufe tom an
ill call tom	ich rufe mal tom
ill call you	ich rufe dich
ill check it	ich werde es uberprufen
ill fix this	ich werde das in ordnung bringen
ill get help	ich hole hilfe
ill get that	ich werde das bekommen
ill get this	ich werde das bekommen
ill go there	ich werde da hingehen
ill help tom	ich werde tom helfen
ill help you	ich helfe dir
ill help you	ich werde dir helfen
ill join you	ich mache mit
ill kill him	ich werde ihn umbringen
ill kill you	ich tote dich
ill kill you	ich werde dich toten
ill miss tom	tom wird mir fehlen
ill miss tom	ich werde tom vermissen
ill miss you	du wirst mir fehlen
ill miss you	ich werde dich vermissen
ill page tom	ich werde tom ausrufen lassen
ill prove it	ich werde es beweisen
ill show you	ich zeigs dir
ill show you	ich zeigs euch
ill show you	ich zeige es ihnen
ill stop tom	ich werde tom stoppen
ill stop you	ich werde es verhindern
ill stop you	ich werde dich stoppen
ill take tom	ich nehme tom
ill take tom	ich ubernehme tom
ill take tom	ich kummere mich um tom
ill take him	ich nehme ihn
ill take one	ich werde eines nehmen
ill tell tom	ich werde es tom sagen
ill tell tom	ich sags tom
ill tell you	ich werde es dir sagen
ill tell you	ich werde es ihnen sagen
ill try that	ich werde es probieren
ill warn tom	ich werde tom warnen
ill watch tv	ich werde fernsehen
ill watch it	ich werde es mir ansehen
im toms dad	ich bin toms vater
im toms mom	ich bin toms mutter
im a cripple	ich bin ein kruppel
im a dentist	ich bin zahnarzt
im a dentist	ich bin zahnarztin
im a fireman	ich bin feuerwehrmann
im a painter	ich bin maler
im a patient	ich bin eine patientin
im a patient	ich bin ein patient
im a redhead	ich bin ein rotschopf
im a soldier	ich bin soldat
im a soldier	ich bin soldatin
im a student	ich bin student
im a student	ich bin schuler
im a student	ich bin schulerin
im a student	ich bin studentin
im a suspect	ich bin ein tatverdachtiger
im a teacher	ich bin lehrer
im a teacher	ich bin lehrerin
im a tourist	ich bin tourist
im afraid so	ich furchte ja
im all right	mir geht es gut
im all right	es geht mir gut
im alone now	ich bin jetzt allein
im an addict	ich bin ein suchtiger
im an artist	ich bin ein kunstler
im an artist	ich bin kunstler
im an orphan	ich bin ein waisenkind
im at school	ich bin in der schule
im attentive	ich bin aufmerksam
im back home	ich bin wieder zuhause
im beautiful	ich bin schon
im busy here	ich bin hier beschaftigt
im busy too	ich habe auch zu tun
im busy too	ich bin auch beschaftigt
im coming in	ich komme herein
im concerned	ich bin besorgt
im convinced	ich bin uberzeugt
im dangerous	ich bin gefahrlich
im depressed	ich bin niedergeschlagen
im depressed	ich bin depressiv
im different	ich bin anders
im down here	ich bin hier unten
im easygoing	ich bin gelassen
im exhausted	ich bin sehr mude
im exhausted	ich bin erschopft
im exhausted	ich bin kaputt
im expecting	ich bin schwanger
im expecting	ich bin guter hoffnung
im flattered	ich fuhle mich sehr geschmeichelt
im going mad	ich werde wahnsinnig
im here too	ich bin auch hier
im home tom	ich bin zu hause tom
im impatient	ich bin ungeduldig
im important	ich bin wichtig
im impressed	ich bin beeindruckt
im in boston	ich bin in boston
im in a gang	ich bin in einer gang
im in danger	ich bin in gefahr
im in denial	ich will es nicht wahrhaben
im in my car	ich bin in meinem auto
im in school	ich bin in der schule
im just lazy	ich bin einfach nur faul
im listening	ich hore
im miserable	ich bin unglucklich
im motivated	ich bin motiviert
im no expert	ich bin nicht vom fach
im no expert	ich bin kein fachmann
im no expert	ich bin kein mann vom fach
im not a spy	ich bin kein spion
im not alone	ich bin nicht allein
im not angry	ich bin nicht bose
im not armed	ich bin nicht bewaffnet
im not brave	ich bin nicht mutig
im not crazy	ich bin nicht verruckt
im not dying	ich sterbe nicht
im not going	ich gehe nicht
im not happy	ich bin nicht glucklich
im not naive	ich bin nicht naiv
im not obese	ich bin nicht ubergewichtig
im not ready	ich bin noch nicht soweit
im not ready	ich bin nicht bereit
im not tired	ich bin nicht mude
im not upset	ich bin nicht besturzt
im on a diet	ich bin auf diat
im on my own	ich bin allein
im on my way	ich bin auf dem weg
im on my way	ich bin unterwegs
im over here	ich bin hier druben
im ready now	ich bin jetzt so weit
im safe here	hier bin ich in sicherheit
im satisfied	ich bin zufrieden
im saying no	ich sage nein
im skeptical	ich bin skeptisch
im surprised	ich bin uberrascht
im too drunk	ich bin zu betrunken
im too tired	ich bin zu mude
im too young	ich bin zu jung
im uninsured	ich bin nicht versichert
im uninsured	ich bin unversichert
im very busy	ich bin sehr beschaftigt
im very cold	mir ist sehr kalt
im very lazy	ich bin uberaus faul
im very poor	ich bin sehr arm
im very rich	ich bin sehr reich
im very tall	ich bin sehr gro
im very thin	ich bin sehr dunn
im your boss	ich bin dein chef
ive found it	ich habe es gefunden
ive got kids	ich habe kinder
ive got more	ich habe noch mehr
ive got that	das habe ich verstanden
ive got that	das habe ich kapiert
ive got time	ich habe zeit
ive got wine	ich habe wein
ive returned	ich bin zuruckgekommen
ive seen tom	ich habe tom gesehen
ive seen tom	ich habe tom getroffen
ive seen tom	ich bin bei tom gewesen
is tom around	ist tom da
is tom coming	kommt tom
is tom famous	ist tom beruhmt
is tom guilty	ist tom schuldig
is tom hungry	hat tom hunger
is tom hungry	ist tom hungrig
is tom lonely	ist tom einsam
is tom nearby	ist tom in der nahe
is tom stupid	ist tom dumm
is he at home	ist er daheim
is he correct	hat er recht
is he looking	sucht er gerade
is it a llama	ist das ein lama
is it damaged	ist es beschadigt
is it damaged	ist sie beschadigt
is it damaged	ist er beschadigt
is it helping	hilft es
is it my turn	bin ich dran
is it my turn	bin ich an der reihe
is it popular	ist es beliebt
is it serious	ist es etwas ernstes
is it snowing	schneit es
is it strange	ist das komisch
is it too big	ist es zu gro
is it too big	ist das zu gro
is it working	funktioniert das
is it working	funktionierts
is that toms	ist das toms
is that a bat	ist das eine fledermaus
is that a cat	ist das eine katze
is that a lot	ist das viel
is that a wig	ist das eine perucke
is that a yes	ist das ein ja
is that blood	ist das blut
is that sugar	ist das zucker
is that sweet	ist das su
is that weird	ist das komisch
is that yours	gehort das dir
is there more	gibt es noch mehr
is this toms	gehort das tom
is this legal	ist das legal
is this legal	ist das rechtens
is this yours	ist das hier deins
is this yours	gehort dies ihnen
is this yours	gehort das hier euch
isnt it cool	ist das nicht cool
isnt it flat	ist es nicht eben
isnt it true	stimmt das nicht
it came apart	es ging kaputt
it came apart	es fiel auseinander
it did happen	es ist tatsachlich passiert
it gets worse	es wird schlimmer
it gets worse	er wird schlimmer
it gets worse	sie wird schlimmer
it had snowed	es hatte geschneit
it hurts here	ich habe hier schmerzen
it hurts here	es tut hier weh
it is a curse	es ist ein fluch
it is no joke	das ist kein witz
it is no joke	das ist kein scherz
it is raining	es regnet
it is snowing	es schneit
it is too hot	es ist zu hei
it isnt easy	es ist nicht einfach
it isnt good	es ist nicht gut
it isnt mine	es ist nicht meins
it isnt mine	das ist nicht meins
it isnt true	es ist nicht wahr
it looks fine	es sieht gut aus
it looks good	das sieht gut aus
it might rain	es konnte regnen
it seems easy	das sieht einfach aus
it sickens me	es macht mich krank
it smells bad	es riecht ubel
it smells bad	es hat einen ublen geruch
it takes time	das braucht zeit
it was a gift	es war ein geschenk
it was a joke	es war ein witz
it was a trap	das war eine falle
it was chilly	es war frostig
it was simple	es war einfach
it was stupid	es war dumm
it was superb	es war groartig
it was urgent	es eilte
it was urgent	es war dringend
it wont hurt	es wird nicht schaden
it wont hurt	es wird nicht wehtun
it wont work	das geht nicht
it wont work	das wird nicht funktionieren
it works fine	es klappt gut
it works well	es funktioniert gut
it works well	es klappt gut
itll be fine	es wird gut gehen
itll be good	es wird gut sein
its pm	es ist uhr
its pm	es ist acht uhr abends
its saturday	es ist samstag
its a fungus	es ist ein pilz
its a relief	das ist eine erleichterung
its a secret	es ist ein geheimnis
its accurate	es trifft zu
its all mine	das gehort alles mir
its all over	die sache ist gelaufen
its all over	jetzt ist der ofen aus
its all over	es ist alles vorbei
its all over	alles ist vorbei
its an honor	es ist eine ehre
its an order	das ist ein befehl
its annoying	es nervt
its been fun	es hat spa gemacht
its business	das gehort zum geschaft
its close by	es liegt in der nahe
its close by	es ist in der nahe
its exciting	es ist aufregend
its fall now	es ist jetzt herbst
its gorgeous	es ist wunderschon
its happened	es ist passiert
its happened	es ist geschehen
its hopeless	es ist hoffnungslos
its hot here	es ist hei hier
its improved	es hat sich verbessert
its inhumane	das ist unmenschlich
its midnight	es ist mitternacht
its my fault	ich bin schuld daran
its my fault	es ist meine schuld
its my horse	es ist mein pferd
its my horse	das ist mein pferd
its my money	es ist mein geld
its my treat	das geht auf meine rechnung
its my treat	diesmal zahle ich
its not cold	es ist nicht kalt
its not easy	es ist nicht einfach
its not fair	das ist ungerecht
its not gold	es ist nicht gold
its not gold	es ist kein gold
its not good	es ist nicht gut
its not here	sie ist nicht hier
its not here	es ist nicht hier
its not here	er ist nicht hier
its not mine	das ist nicht meins
its not true	das ist nicht wahr
its not ugly	es ist nicht hasslich
its obsolete	das ist veraltet
its occupied	es ist besetzt
its optional	das ist freiwillig
its possible	es ist moglich
its so quiet	es ist so still
its so sweet	es ist so su
its the cops	die bullen
its too cold	es ist zu kalt
its too dark	es ist zu dunkel
its too easy	es ist zu leicht
its too easy	das ist zu leicht
its too fast	das ist zu schnell
its too hard	es ist zu schwierig
its too hard	es ist zu hart
its too late	es ist zu spat
its too long	es ist zu lang
its too loud	es ist zu laut
its too soon	es ist zu fruh
its too thin	das ist zu dunn
its too thin	es ist zu dunn
its too ugly	es ist zu hasslich
its too ugly	das ist zu schiech
its unlikely	das ist unwahrscheinlich
its unlocked	es ist entsperrt
its unlocked	es ist freigeschaltet
its up to me	es liegt an mir
its up to us	es ist an uns
its up to us	es hangt von uns ab
its upstairs	es befindet sich oben
its very big	es ist sehr gro
its very hot	es ist sehr hei
its very new	es ist sehr neu
its very odd	es ist sehr seltsam
its very odd	es ist sehr eigenartig
just a minute	nur eine minute
just a moment	einen augenblick
just check it	kontrollier ihn einfach
just check it	kontrollier sie einfach
just check it	kontrollier es einfach
just check it	kontrolliers einfach
just check it	kontrollieren sie ihn einfach
just check it	kontrollieren sie sie einfach
just check it	kontrollieren sie es einfach
just check it	kontrollieren sies einfach
just check it	kontrolliert ihn einfach
just check it	kontrolliert sie einfach
just check it	kontrolliert es einfach
just check it	kontrollierts einfach
just find tom	finde einfach tom
just get lost	zieh leine
just get lost	verzieh dich
just get lost	verziehen sie sich
just get lost	ziehen sie leine
just get lost	verzieht euch
just get lost	zieht leine
just get lost	verschwinde einfach
just get lost	verschwinden sie einfach
just get lost	verschwindet einfach
just pick one	nimm nur einen
keep tom busy	beschaftige tom
keep tom busy	halte tom auf trab
keep climbing	klettere weiter
keep climbing	klettern sie weiter
keep climbing	klettert weiter
keep in touch	lasst uns in verbindung bleiben
keep in touch	lass uns in kontakt bleiben
keep it quiet	behalt es fur dich
keep it quiet	behalten sie es fur sich
keep it quiet	behaltet es fur euch
keep it short	fasse dich kurz
keep paddling	paddel weiter
keep paddling	paddeln sie weiter
let tom do it	lass es tom tun
let tom do it	lassen sie es tom tun
let tom do it	lasst es tom tun
let tom do it	lass es tom machen
let tom drive	lass tom fahren
let tom sleep	lass tom schlafen
let tom sleep	lassen sie tom schlafen
let tom sleep	lasst tom schlafen
let tom speak	lass tom sprechen
let go of tom	lass tom los
let him do it	lass es ihn machen
let him do it	uberlass ihm das
let him do it	uberlass es ihm
let him enter	lass ihn eintreten
let me try it	lass es mich versuchen
let them talk	lass sie reden
lets ask him	fragen wir ihn
lets ask him	lass uns den mann da mal fragen
lets eat now	lass uns jetzt essen
lets eat out	lass uns essen gehen
lets eat out	lasst uns essen gehen
lets go away	lasst uns fortgehen
lets go back	lass uns zuruckgehen
lets go home	lass uns nach hause gehen
lets keep it	belassen wirs dabei
lets move on	lass uns weitermachen
lets open it	machen wir es auf
lets proceed	lasst uns fortfahren
lets sue tom	verklagen wir tom
life is crazy	das leben ist verruckt
life is short	das leben ist kurz
life is tough	das leben ist hart
lifes unfair	das leben ist ungerecht
listen to tom	hor auf tom
lock the door	schlie die tur ab
lock the door	schlie die tur zu
lock the door	schlieen sie die tur ab
lock the door	schlie die tur zu
lock the safe	schlie den tresor ab
look at these	schau dir diese da an
look at those	sieh dir diese an
look in there	schau dort rein
look up there	sieh dort oben nach
love is blind	liebe macht blind
love is blind	liebe ist blind
love is crazy	liebe ist verruckt
make me happy	mach mich glucklich
make your bed	mach dein bett
man is mortal	der mensch ist sterblich
mary is a fox	maria ist ein heier feger
mary is weird	maria ist komisch
mary is weird	maria ist seltsam
mary shrieked	maria kreischte
may i ask why	darf ich fragen warum
may i ask why	darf ich nach dem grund fragen
may i come in	kann ich reinkommen
may i come in	darf ich reinkommen
may i come in	darf ich eintreten
may i go home	darf ich nach hause gehen
meats scarce	das fleisch ist knapp
memorize this	lern das auswendig
men never cry	manner weinen nie
mine is black	meins ist schwarz
mine is black	meine ist schwarz
mine is black	meiner ist schwarz
moms at work	mama ist arbeiten
my back hurts	ich habe ruckenschmerzen
my back hurts	mein rucken tut weh
my back hurts	mein rucken schmerzt
my back hurts	mir tut der rucken weh
my car is red	mein auto ist rot
my cat is wet	meine katze ist nass
my dog ate it	mein hund hat es gefressen
my dog is big	mein hund ist gro
my feet stink	meine fue stinken
my foot hurts	mein fu schmerzt
my foot hurts	mein fu tut weh
my foot hurts	mir tut der fu weh
my hairs wet	ich habe feuchtes haar
my head aches	ich habe kopfweh
my head aches	ich habe kopfschmerzen
my knee hurts	mir tut das knie weh
my names tom	ich heie tom
my neck hurts	mir tut der nacken weh
my neck hurts	ich habe nackenschmerzen
my pen is new	mein fuller ist neu
night came on	die nacht zog herauf
no one saw me	niemand hat mich gesehen
no one saw us	niemand hat uns gesehen
no ones here	niemand ist hier
no ones home	niemand ist zu hause
no thank you	nein danke
nobody called	niemand ist vorbeigekommen
nobody called	niemand hat angerufen
nobody called	niemand hat sich gemeldet
nobody saw me	keiner hat mich gesehen
nobody saw me	niemand sah mich
nobodys busy	keiner hat etwas zu tun
nobodys home	es ist niemand zu hause
now im angry	jetzt bin ich wutend
now im ready	jetzt bin ich so weit
now its over	es ist jetzt vorbei
now you do it	jetzt bist du dran
ok im ready	gut ich bin soweit
ok listen up	okay hor zu
oh im sorry	oh tut mir leid
only tom left	nur tom ist gegangen
open the door	offnen sie die tur
open the door	offne die tur
open the door	mach die tur auf
open the door	machen sie die tur auf
open the door	macht die tur auf
open the gate	offne das tor
open the gate	offnet das tor
open the safe	offnen sie den tresor
open the safe	offne den tresor
our team lost	unsere mannschaft hat verloren
owls are cute	eulen sind niedlich
owls are cute	eulen sind su
pass it to me	gib es mir
people change	menschen verandern sich
pick any card	zieh eine beliebige karte
play it again	spiel es nochmal
put on a robe	zieh einen bademantel an
quiet please	bitte leise
quit stalling	hor auf zeit zu schinden
read after me	lese es nach mir
read it again	lies es nochmals
read it aloud	lies es vor
read it aloud	lesen sie es vor
read it to me	lies es mir vor
read it to me	lesen sie es mir vor
read this now	lies das jetzt
read this now	lesen sie das jetzt
read this now	lest das jetzt
red is better	rot ist besser
red suits you	rot steht dir
red suits you	rot steht euch
red suits you	rot steht ihnen
rest in peace	ruhe in frieden
roll the dice	wurfel
roll the dice	wurfle
roll the dice	wurfele
roll the dice	wurfeln sie
save yourself	rette dich selbst
save yourself	retten sie sich selbst
school is out	die schule ist zu ende
see you again	auf wiedersehen
see you again	auf wiederschauen
see you later	wir sehen uns
see you there	wir sehen uns dort
send tom over	schick tom vorbei
send it to me	schicken sie es mir
send it to me	schick es mir
she avoids me	sie geht mir aus dem weg
she bent down	sie buckte sich
she came last	sie kam als letzte
she came last	sie wurde letzte
she can skate	sie kann schlittschuh laufen
she can skate	sie kann rollschuh laufen
she cant ski	sie kann nicht ski fahren
she could die	sie konnte sterben
she dumped me	sie hat mit mir schluss gemacht
she dumped me	sie hat mir den laufpass gegeben
she dumped me	sie hat mich verlassen
she dumped me	sie hat mich abserviert
she got angry	sie wurde wutend
she hated him	sie verabscheute ihn
she hated him	sie hasste ihn
she hated him	sie konnte ihn nicht leiden
she hates him	sie hasst ihn
she hates him	sie kann ihn nicht leiden
she helps him	sie hilft ihm
she hired him	sie hat ihn eingestellt
she is a twin	sie ist ein zwilling
she is active	sie ist aktiv
she is crying	sie weint
she is eating	sie isst gerade
she just left	sie ist gerade gegangen
she led me on	sie hat mir falsche hoffnungen gemacht
she led me on	sie hat mir etwas vorgemacht
she likes him	sie mag ihn
she likes him	sie liebt ihn
she looks sad	sie sieht traurig aus
she loves tom	sie liebt tom
she loves him	sie liebt ihn
she needs you	sie braucht dich
she needs you	sie braucht sie
she obeys him	sie gehorcht ihm
she obeys him	sie ist ihm horig
she overslept	sie hat verschlafen
she runs fast	sie ist eine schnelle lauferin
she wants him	sie will ihn
she was brave	sie war tapfer
she was livid	sie war fuchsteufelswild
she was livid	sie war auer sich vor wut
she was naive	sie war naiv
she was naive	sie war einfaltig
she was naive	sie war leichtglaubig
she was naive	sie war blauaugig
she was young	sie war jung
she went home	sie ging nach hause
she went home	sie ist nach hause gegangen
shes a cutie	sie ist eine sue
shes a cutie	sie ist eine sue maus
shes dieting	sie ist auf diat
shes dieting	sie macht eine diat
shes my type	sie ist mein typ
shes my wife	sie ist meine frau
show it to me	zeig es mir
show it to me	zeig sie mir
show it to me	zeig ihn mir
show it to us	zeig es uns
show it to us	zeig ihn uns
show it to us	zeig sie uns
show yourself	zeigen sie sich
show yourself	zeige dich
shut the book	schlie das buch
shut the door	schlie die tur
shut the door	mach die tur zu
shut the door	mach die ture zu
some fish fly	einige fische fliegen
speak clearly	sprich deutlich
speak quietly	sprich leise
stand at ease	ruhrt euch
start running	fang an zu rennen
start running	fang an zu laufen
start running	fangen sie an zu laufen
start running	beginnen sie zu laufen
start running	beginnen sie zu rennen
start the car	lasse den wagen an
start the car	lass den wagen an
start writing	fang an zu schreiben
stay in there	bleib da drinnen
stay positive	bleibe zuversichtlich
stay together	bleibt zusammen
stay together	zusammenbleiben
stay with tom	bleib bei tom
stay with tom	bleiben sie bei tom
stir the soup	ruhr die suppe um
stop bragging	hor auf anzugeben
stop dreaming	hor auf zu traumen
stop fighting	hort auf zu kampfen
stop laughing	hor auf zu lachen
stop meddling	misch dich nicht ein
stop shooting	hor auf zu schieen
stop shooting	hort auf zu schieen
stop shooting	horen sie auf zu schieen
stop shouting	hor auf zu rufen
stop that car	stoppen sie dieses auto
straighten up	richte dich auf
suit yourself	ganz wie du willst
suit yourself	mach was du willst
suit yourself	mache was du willst
suit yourself	tu was du willst
suit yourself	wie du willst
sweep my room	feg mein zimmer
take tom home	bring tom nach hause
take tom home	bringen sie tom nach hause
take a number	ziehe eine nummer
take a number	ziehen sie eine nummer
take a number	zieh eine nummer
take a shower	geh duschen
take him away	fuhrt ihn ab
take him away	abfuhren
take me there	bring mich dahin
take my horse	nimm mein pferd
take only one	nimm nur eines
take only one	nimm nur einen
take only one	nimm nur eine
take us there	bring uns hin
tastes differ	geschmacker sind verschieden
thanks anyway	danke trotzdem
that cant be	das kann gar nicht sein
that isnt it	das ist es nicht
that ones ok	der da ist in ordnung
that ones ok	der da ist ok
that ones ok	die da ist in ordnung
that ones ok	die da ist ok
that ones ok	das da ist in ordnung
that ones ok	das da ist ok
that was easy	das war einfach
that was fast	das war schnell
that was loud	das war laut
that was mean	das war gemein
that was ours	das war unsres
that was ours	das war unsrer
that was ours	das war unsre
thatd be fun	das ware toll
thatd be fun	das ware lustig
thatll do it	das wird es tun
thats saturn	das ist der saturn
thats a book	das ist ein buch
thats a copy	das ist eine kopie
thats a doll	das ist eine puppe
thats a fact	das ist eine tatsache
thats a fact	das ist ein faktum
thats a fake	das ist eine kopie
thats a fake	das ist eine falschung
thats a fish	das ist ein fisch
thats a joke	das ist ein witz
thats a joke	das ist ein scherz
thats a myth	das ist ein mythos
thats a plan	das ist ein plan
thats a risk	das ist ein risiko
thats a sign	das ist ein zeichen
thats a tree	das ist ein baum
thats better	besser
thats better	das ist besser
thats broken	das ist kaputt
thats broken	das funktioniert nicht
thats doable	das ist machbar
thats enough	es reicht
thats enough	das reicht
thats enough	das ist genug
thats enough	es reicht
thats my boy	das ist mein junge
thats my car	das ist mein auto
thats my cat	das ist meine katze
thats my dad	das ist mein vater
thats my dog	das ist mein hund
thats my job	das ist meine aufgabe
thats not ok	das ist nicht okay
thats simple	das ist einfach
thats so sad	das ist so traurig
thats stupid	das ist blod
thats unfair	das ist ungerecht
the bell rang	die glocke lautete
the cup broke	die tasse zerbrach
the girls won	die madchen haben gewonnen
the girls won	die madchen gewannen
the girls won	die madchen siegten
the girls won	die madchen haben gesiegt
there is hope	es besteht hoffnung
there is more	es gibt noch mehr
there you are	hier bitte
these are new	diese sind neu
they all knew	sie wussten alle bescheid
they are busy	sie haben zu tun
they are busy	sie sind beschaftigt
they canceled	sie kundigten
they canceled	sie sagten ab
they found it	sie haben es gefunden
they found us	sie haben uns gefunden
they know tom	sie kennen tom
they know tom	die kennen tom
they know you	sie kennen dich
they love tom	sie lieben tom
they loved it	sie mochten es
they loved it	die liebten es
they may come	sie konnen kommen
they may come	die konnen kommen
they need him	sie brauchen ihn
they said yes	sie sagten ja
they sat down	sie setzten sich
they saved us	sie haben uns gerettet
they vanished	sie verschwanden
they want tom	sie wollen tom
they will die	sie werden sterben
theyll be ok	es wird ihnen gutgehen
theyll do it	sie werden es tun
theyre asian	sie sind asiaten
theyre toms	sie sind toms
theyre alone	sie sind allein
theyre angry	sie sind wutend
theyre angry	sie sind zornig
theyre armed	sie sind bewaffnet
theyre awake	sie sind wach
theyre broke	sie sind pleite
theyre brown	sie sind braun
theyre crazy	die haben sie nicht mehr alle
theyre drunk	sie sind betrunken
theyre drunk	sie sind blau
theyre early	sie sind fruh dran
theyre empty	sie sind leer
theyre fools	das sind dummkopfe
theyre going	sie gehen
theyre great	sie sind groartig
theyre green	sie sind grun
theyre happy	sie sind glucklich
theyre quiet	sie sind still
theyre quiet	sie sind leise
theyre quiet	sie sind ruhig
theyre ready	sie sind bereit
theyre right	sie haben recht
theyre right	sie haben recht
theyre small	sie sind klein
theyre spies	das sind spione
theyre there	sie sind dort
theyre tired	sie sind mude
theyre upset	sie sind besturzt
theyre wrong	die irren sich
theyre wrong	die haben unrecht
theyre yours	sie sind deine
things change	die dinge andern sich
things happen	so etwas passiert nun mal
this is japan	das hier ist japan
this is toms	das gehort tom
this is a dvd	das ist eine dvd
this is a dog	das ist ein hund
this is a dog	dies ist ein hund
this is a map	dies ist eine landkarte
this is a pen	das ist ein fuller
this is a pen	das ist ein kuli
this is a pun	das ist ein wortspiel
this is crazy	das ist verruckt
this is crazy	das ist wahnsinn
this is funny	das ist komisch
this is great	das ist toll
this is my cd	das ist meine cd
this is weird	das ist komisch
this is wrong	das ist falsch
this is yours	das ist deins
this is yours	das ist ihres
this ones ok	dieser ist in ordnung
this was hard	das war schwierig
this was hard	das war schwer
throw it away	wirf es weg
time is money	zeit ist geld
tom adores me	tom betet mich an
tom adores me	tom himmelt mich an
tom and i ran	tom und ich rannten
tom applauded	tom klatschte
tom applauded	tom applaudierte
tom applauded	tom spendete beifall
tom applauded	tom hat geklatscht
tom applauded	tom hat applaudiert
tom applauded	tom hat beifall gespendet
tom asked why	tom fragte warum
tom ate alone	tom a allein
tom ate alone	tom hat allein gegessen
tom avoids me	tom meidet mich
tom blames us	tom gibt uns die schuld
tom called me	tom rief mich an
tom called us	tom hat uns gerufen
tom called us	tom hat uns angerufen
tom came here	tom kam hierher
tom came home	tom kam nach hause
tom came home	tom ist nach hause gekommen
tom came last	tom kam als letzter
tom came over	tom kam vorbei
tom can do it	tom kann es machen
tom can drive	tom kann auto fahren
tom cant ski	tom kann nicht ski fahren
tom cant win	tom kann nicht gewinnen
tom confessed	tom hat gebeichtet
tom confessed	tom gestand
tom confessed	tom beichtete
tom could die	tom konnte sterben
tom could win	tom konnte gewinnen
tom denied it	tom stritt es ab
tom did do it	doch tom hat es gemacht
tom disagreed	tom stimmte nicht zu
tom disagreed	tom war anderer meinung
tom disagreed	tom widersprach
tom does that	tom macht das
tom dozed off	tom schlief ein
tom dumped me	tom hat mich sitzenlassen
tom exercised	tom ertuchtigte sich
tom exercised	tom hat sich ertuchtigt
tom exercises	tom trainiert
tom felt fine	tom fuhlte sich gut
tom felt safe	tom fuhlte sich sicher
tom felt sick	tom fuhlte sich krank
tom felt weak	tom fuhlte sich schwach
tom found one	tom hat einen gefunden
tom found one	tom hat eine gefunden
tom found one	tom hat eins gefunden
tom got a job	tom hat eine arbeit gefunden
tom got drunk	tom wurde betrunken
tom got fired	tom wurde gefeuert
tom got stuck	tom blieb stecken
tom graduated	tom schloss die schule ab
tom graduated	tom schloss die hochschule ab
tom graduated	tom machte seinen abschluss
tom had a cat	tom hatte eine katze
tom had a dog	tom hatte einen hund
tom had a gun	tom hatte eine waffe
tom had a son	tom hat einen sohn bekommen
tom had a son	tom hatte einen sohn
tom had to go	tom musste weggehen
tom has a car	tom hat ein auto
tom has a car	tom hat einen wagen
tom has a dog	tom hat einen hund
tom has a gun	tom hat eine waffe
tom has a job	tom hat arbeit
tom has a map	tom hat eine landkarte
tom has a map	tom hat eine karte
tom has a son	tom hat einen sohn
tom has grown	tom ist gewachsen
tom has money	tom hat geld
tom has plans	tom hat plane
tom has to go	tom muss gehen
tom helped me	tom half mir
tom helped us	tom half uns
tom hesitated	tom zogerte
tom hugged me	tom hat mich umarmt
tom hugged me	tom umarmte mich
tom hugged me	tom hat mich geknuddelt
tom is a baby	tom ist ein baby
tom is a chef	tom ist koch
tom is a cook	tom ist koch
tom is a fool	tom ist ein narr
tom is a hero	tom ist ein held
tom is a jock	tom ist ein sportler
tom is a poet	tom ist ein poet
tom is a slob	tom ist ein chaot
tom is a temp	tom ist zeitarbeiter
